"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode"
"Spodoptera frugiperda",-97.350195,27.672304,"US",NA,2.18926251540894e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.648716,30.411806,"US",NA,2.18926049369232e-314,"Noctuidae","SPECIES",196,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.350171,27.672289,"US",NA,2.18925394336998e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.288017,29.338763,"US",NA,2.1892505318467e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.547255,30.350218,"US",NA,2.18924774235206e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.681113,30.852585,"US",NA,2.18924198253476e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.053878,33.041858,"US",NA,2.18924104035158e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.328998,27.669157,"US",NA,2.18924069598782e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-68.081567,10.10686,"VE",NA,2.18923121832654e-314,"Noctuidae","SPECIES",5578,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.034216,30.765137,"US",NA,2.18923041398767e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.38515,30.347209,"US",NA,2.18921261626091e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.305497,30.311899,"US",NA,2.18920615338819e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.648652,30.411776,"US",NA,2.18920558274237e-314,"Noctuidae","SPECIES",15,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.384975,30.347401,"US",NA,2.18919379730046e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-75.206469,38.755951,"US",NA,2.18919227607233e-314,"Noctuidae","SPECIES",90,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.58191,30.24722,"US",NA,2.18919138971856e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-82.412078,29.635097,"US",NA,2.18917886367224e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.393501,39.012921,"US",NA,2.18914741145323e-314,"Noctuidae","SPECIES",65,2021,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-81.316987,29.900408,"US",NA,2.18914218621496e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.641319,30.847611,"US",NA,2.18909843818422e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.54717,30.50614,"US",NA,2.18909721388955e-314,"Noctuidae","SPECIES",70,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.547264,30.350548,"US",NA,2.18908092158081e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.192474,32.752492,"US",NA,2.18907722201725e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.64214,30.84826,"US",NA,2.18905478995474e-314,"Noctuidae","SPECIES",175,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.2484,31.633837,"US",NA,2.18903392457438e-314,"Noctuidae","SPECIES",499,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.547252,30.350345,"US",NA,2.18902510253821e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.259676,26.201545,"US",NA,2.18902505066132e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.56903,25.996608,"US",NA,2.18901741240643e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.3675,30.74028,"US",NA,2.18901285712118e-314,"Noctuidae","SPECIES",80,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.68111,30.85261,"US",NA,2.1890085523272e-314,"Noctuidae","SPECIES",80,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.328905,27.669206,"US",NA,2.18900503655607e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.681562,30.852302,"US",NA,2.18900087010048e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.584186,29.79435,"US",NA,2.18899997633572e-314,"Noctuidae","SPECIES",29458,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.288017,29.338772,"US",NA,2.18899271060634e-314,"Noctuidae","SPECIES",5,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-96.299073,30.54802,"US",NA,2.18898871509746e-314,"Noctuidae","SPECIES",31,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.648695,30.411832,"US",NA,2.18898275419544e-314,"Noctuidae","SPECIES",15,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.582245,30.246818,"US",NA,2.18897793063254e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.547258,30.350028,"US",NA,2.18897446624423e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.581903,30.247226,"US",NA,2.18896806414159e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.609178,32.982208,"US",NA,2.18896787491445e-314,"Noctuidae","SPECIES",28,2021,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.648705,30.411776,"US",NA,2.18896546634443e-314,"Noctuidae","SPECIES",15,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-90.161283,32.321247,"US",NA,2.18895555291724e-314,"Noctuidae","SPECIES",7,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.367365,30.740527,"US",NA,2.18895517693329e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-46.570583,-23.732944,"BR",NA,2.1889483958823e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.494067,37.755033,"US",NA,2.18894352785349e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-79.906221,40.82588,"US",NA,2.1889388767195e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-76.953993,40.185343,"US",NA,2.18890746699013e-314,"Noctuidae","SPECIES",7,2021,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-76.953988,40.185341,"US",NA,2.18890700009809e-314,"Noctuidae","SPECIES",5,2021,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-75.367692,39.99485,"US",NA,2.18890296704023e-314,"Noctuidae","SPECIES",5,2022,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.716841,30.474843,"US",NA,2.18607926478069e-314,"Noctuidae","SPECIES",29356,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.367418,30.740367,"US",NA,2.18597536326943e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.367,30.740597,"US",NA,2.18594956414954e-314,"Noctuidae","SPECIES",30,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.803395,30.350262,"US",NA,2.18590071587913e-314,"Noctuidae","SPECIES",27,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.315102,27.897057,"US",NA,2.1858959259127e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.350172,27.672286,"US",NA,2.18589268978272e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.454479,27.587584,"US",NA,2.18583695423721e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-94.765904,30.098235,"US",NA,2.18581300094657e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.393558,27.648982,"US",NA,2.18579223289714e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",33,-2,"TZ",NA,2.1845545870908e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.566506,-2.525566,"RW",NA,2.18455458659674e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",35.42312,-7.91234,"TZ",NA,2.18455458610267e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",35.48468,-7.95285,"TZ",NA,2.18455458560861e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",35.699287,-7.780221,"TZ",NA,2.18455458511454e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.038818,3.475614,"UG",NA,2.18455458462047e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.44329,7.45952,"ET",NA,2.18455458412641e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.560267,-1.541534,"RW",NA,2.18455458363234e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.346487,-1.692415,"RW",NA,2.18455458313828e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",33.852215,-2.24781,"TZ",NA,2.18455458264421e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.57573,0.339913,"UG",NA,2.18455458215015e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",34.783824,-0.08744,"KE",NA,2.18455458165608e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.350556,-1.703227,"RW",NA,2.18455458116201e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069663,-0.285232,"KE",NA,2.18455458066795e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.560318,-1.54151,"RW",NA,2.18455458017388e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.350917,-1.963165,"RW",NA,2.18455457967982e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.752386,0.499345,"UG",NA,2.18455457918575e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.411166,-1.080584,"RW",NA,2.18455457869169e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.326717,-1.650777,"RW",NA,2.18455457819762e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",33.373687,-8.618453,"TZ",NA,2.18455457770356e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",35.986047,0.470803,"KE",NA,2.18455457720949e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.342293,-1.608238,"RW",NA,2.18455457671542e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.070484,-0.284551,"KE",NA,2.18455457622136e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.386088,-1.590799,"RW",NA,2.18455457572729e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069665,-0.28523,"KE",NA,2.18455457523323e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.350228,-1.703035,"RW",NA,2.18455457473916e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.311358,-1.721085,"RW",NA,2.1845545742451e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.514618,-1.856306,"RW",NA,2.18455457375103e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.60753,7.423,"ET",NA,2.18455457325696e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069697,-0.285246,"KE",NA,2.1845545727629e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.388269,-1.630207,"RW",NA,2.18455457226883e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069664,-0.28523,"KE",NA,2.18455457177477e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",34.998667,-4.3374,"TZ",NA,2.1845545712807e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",35.009253,-4.324275,"TZ",NA,2.18455457078664e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.278702,-1.604102,"RW",NA,2.18455457029257e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.435618,-1.05949,"RW",NA,2.18455456979851e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.080248,-1.65121,"RW",NA,2.18455456930444e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.079267,-1.652443,"RW",NA,2.18455456881037e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",31.723954,1.682283,"UG",NA,2.18455456831631e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069429,-0.284402,"KE",NA,2.18455456782224e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.906269,2.251212,"UG",NA,2.18455456732818e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.070144,-0.284789,"KE",NA,2.18455456683411e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.752202,0.504491,"UG",NA,2.18455456634005e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.60753,7.48614,"ET",NA,2.18455456584598e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.640825,-1.510048,"RW",NA,2.18455456535191e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069774,-0.285264,"KE",NA,2.18455456485785e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.074175,-0.301765,"KE",NA,2.18455456436378e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.533865,-3.390915,"TZ",NA,2.18455456386972e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.537287,11.534088,"ET",NA,2.18455456337565e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.30453,-1.694379,"RW",NA,2.18455456238752e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.349703,-1.701755,"RW",NA,2.18455456189345e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.332788,11.595904,"ET",NA,2.18455456139939e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",33.038955,0.761401,"UG",NA,2.18455456090532e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.749504,0.496309,"UG",NA,2.18455456041126e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.069676,-0.285239,"KE",NA,2.18455455991719e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.442417,-2.52514,"RW",NA,2.18455455942313e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.26948,-1.517111,"KE",NA,2.18455455892906e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.26561,-1.521288,"KE",NA,2.184554558435e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262839,-1.529002,"KE",NA,2.18455455794093e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.560321,-1.541499,"RW",NA,2.18455455744686e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.563699,-2.527298,"RW",NA,2.1845545569528e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.557105,-3.40918,"TZ",NA,2.18455455645873e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.896893,0.513388,"UG",NA,2.18455455596467e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.552922,-1.55317,"RW",NA,2.1845545554706e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",30.387035,-1.621073,"RW",NA,2.18455455497654e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.997278,2.302525,"UG",NA,2.18455455448247e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.052723,3.474269,"UG",NA,2.1845545539884e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",32.907669,2.280565,"UG",NA,2.18455455349434e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.567198,-2.525673,"RW",NA,2.18455455300027e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.459057,-2.435928,"RW",NA,2.18455455250621e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262683,-1.529157,"KE",NA,2.18455455201214e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262843,-1.529006,"KE",NA,2.18455455151808e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.612465,-1.459693,"RW",NA,2.18455455102401e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.5543,10.991119,"ET",NA,2.18455455052994e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.641946,11.01171,"ET",NA,2.18455455003588e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262799,-1.529042,"KE",NA,2.18455454954181e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.261186,-1.531516,"KE",NA,2.18455454904775e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262693,-1.530513,"KE",NA,2.18455454855368e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262841,-1.528998,"KE",NA,2.18455454805962e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.262935,-1.530095,"KE",NA,2.18455454756555e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.593364,10.814894,"ET",NA,2.18455454707149e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.567193,-2.525673,"RW",NA,2.18455454657742e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.44454,-2.425588,"RW",NA,2.18455454608335e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.562554,-1.539325,"RW",NA,2.18455454558929e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.357378,-1.698533,"RW",NA,2.18455454509522e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.618671,11.011104,"ET",NA,2.18455454460116e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",37.380861,10.662529,"ET",NA,2.18455454410709e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.287073,-1.68005,"RW",NA,2.18455454361303e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",29.327445,-1.640412,"RW",NA,2.18455454311896e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
"Spodoptera frugiperda",36.418003,10.853352,"ET",NA,2.18455454262489e-314,"Noctuidae","SPECIES",NA,2018,"HUMAN_OBSERVATION",""
